question_id,face_value,years_to_maturity,coupon_payment_schedule,coupon_rate,discount_rate,present_value,future_value,continuous_rate,pv_no_coupon,pv_with_coupon
Question 1,10000,6,2,0.0314,0.0530338755168651,7334.09,10000.01,0.052343,7334.085109000695,8900.546801592065
Question 2,1000,11,2,0.0895,0.0530338755168651,566.41,999.99,0.052343,566.4143314207735,1300.9830054390964
Question 3,100000,9,4,0.0968,0.0530338755168651,62808.57,100000.0,0.052685,62808.571809809204,131161.18182598945
Question 4,100,14,4,0.069,0.0530338755168651,48.51,100.01,0.052685,48.50731165566482,115.7071758317704
Question 5,10000,10,4,0.0367,0.0530338755168651,5964.53,9999.99,0.052685,5964.534785643112,8738.659173328826
Question 6,1000,2,2,0.0153,0.0530338755168651,901.81,1000.0,0.052343,901.8105572212885,929.2816680755294
Question 7,100000,19,4,0.0878,0.0530338755168651,37462.39,100000.0,0.052685,37462.39113961703,141463.02473467647
Question 8,10000,3,2,0.024,0.0530338755168651,8563.93,10000.0,0.052343,8563.927316950263,9204.429699715976
Question 9,100,26,2,0.0343,0.0530338755168651,26.09,99.99,0.052343,26.091502979404815,73.73372066042202
Question 10,10000,22,1,0.0593,0.0530338755168651,3208.25,9999.99,0.051675,3208.2519483884184,10802.46707099415
Question 11,1000,13,4,0.0327,0.0530338755168651,510.8,1000.0,0.052685,510.7984238366913,809.8791748646836
Question 12,1000,11,1,0.086,0.0530338755168651,566.41,999.99,0.051675,566.4143314207735,1269.519038259623
Question 13,100000,5,4,0.0552,0.0530338755168651,77230.4,100000.0,0.052685,77230.40065701531,100945.8945607265
Question 14,1000,18,2,0.0536,0.0530338755168651,394.49,1000.0,0.052343,394.49166927879594,1006.5139575079443
Question 15,1000,15,2,0.0915,0.0530338755168651,460.64,999.99,0.052343,460.64341122792246,1394.530641490558
Question 16,10000,28,2,0.0924,0.0530338755168651,2352.96,10000.0,0.052343,2352.9592840597966,15708.606142578214
Question 17,100000,23,4,0.0317,0.0530338755168651,30466.75,100000.0,0.052685,30466.74967425619,71747.52549166589
Question 18,1000,4,4,0.0117,0.0530338755168651,813.26,1000.0,0.052685,813.2622811157709,851.9036741316768
Question 19,100,2,1,0.0703,0.0530338755168651,90.18,100.0,0.051675,90.18105572212885,103.19673251374539
Question 20,10000,5,1,0.0344,0.0530338755168651,7723.04,10000.0,0.051675,7723.040065701532,9199.97195077485
Question 21,100,10,1,0.0113,0.0530338755168651,59.65,100.01,0.051675,59.645347856431115,68.24376848434308
Question 22,1000,25,2,0.0187,0.0530338755168651,274.75,999.99,0.052343,274.75236500462483,527.5344876906463
Question 23,100,29,1,0.0477,0.0530338755168651,22.34,99.98,0.051675,22.34457351056141,92.18981501791217
Question 24,10000,15,4,0.0208,0.0530338755168651,4606.43,9999.99,0.052685,4606.434112279225,6679.70627925333
Question 25,100,11,4,0.0286,0.0530338755168651,56.64,100.0,0.052685,56.64143314207735,79.73543796127363
Question 26,100,27,2,0.0771,0.0530338755168651,24.78,100.01,0.052343,24.77745833826876,134.3358983204033
Question 27,100000,27,4,0.051,0.0530338755168651,24777.46,100000.01,0.052685,24777.45833826876,97089.61612573726
Question 28,100000,21,1,0.0202,0.0530338755168651,33783.98,100000.0,0.051675,33783.979828459895,59004.908799410856
Question 29,10000,7,4,0.0294,0.0530338755168651,6964.72,10000.0,0.052685,6964.719065092634,8625.499945172189
Question 30,1000,19,2,0.0937,0.0530338755168651,374.62,999.99,0.052343,374.6239113961703,1483.1556575219074
Question 31,1000,16,4,0.0107,0.0530338755168651,437.44,999.99,0.052685,437.444057535018,545.3467620283134
Question 32,10000,26,2,0.0678,0.0530338755168651,2609.15,10000.0,0.052343,2609.1502979404813,12070.319887029524
Question 33,100000,7,1,0.068,0.0530338755168651,69647.19,100000.0,0.051675,69647.19065092634,108565.54265936377
Question 34,1000,29,2,0.0712,0.0530338755168651,223.45,1000.02,0.052343,223.4457351056141,1267.4668217987376
Question 35,10000,19,4,0.062,0.0530338755168651,3746.24,10000.0,0.052685,3746.239113961703,11069.324368894628
Question 36,10000,6,4,0.0806,0.0530338755168651,7334.09,10000.01,0.052685,7334.085109000695,11408.72924592812
Question 37,100000,16,2,0.084,0.0530338755168651,43744.41,100000.01,0.052343,43744.4057535018,133118.60726971403
Question 38,1000,3,2,0.0682,0.0530338755168651,856.39,1000.0,0.052343,856.3927316950263,1041.5573807987985
Question 39,1000,28,2,0.0262,0.0530338755168651,235.3,1000.02,0.052343,235.29592840597965,610.8734892854903
Question 40,1000,29,4,0.0754,0.0530338755168651,223.45,1000.02,0.052685,223.4457351056141,1330.2184294261292
Question 41,100,13,2,0.0356,0.0530338755168651,51.08,100.0,0.052343,51.07984238366913,83.77335001522758
Question 42,1000,24,4,0.0857,0.0530338755168651,289.32,999.99,0.052685,289.3235477282444,1442.0076717644229
Question 43,10000,15,2,0.0613,0.0530338755168651,4606.43,9999.99,0.052343,4606.434112279225,10847.821151413875
Question 44,100,15,1,0.0177,0.0530338755168651,46.06,99.99,0.051675,46.06434112279225,64.0653103678739
Question 45,10000,29,2,0.092,0.0530338755168651,2234.46,10000.01,0.052343,2234.457351056141,15737.132035505834
Question 46,100000,15,2,0.0516,0.0530338755168651,46064.34,100000.0,0.052343,46064.34112279225,98529.33500557265
Question 47,10000,22,2,0.0949,0.0530338755168651,3208.25,9999.99,0.052343,3208.2519483884184,15398.478564103496
Question 48,100000,13,1,0.0136,0.0530338755168651,51079.84,100000.0,0.051675,51079.84238366913,63624.92111114258
Question 49,100000,13,4,0.0197,0.0530338755168651,51079.84,100000.0,0.052685,51079.84238366913,68832.97572581313
Question 50,1000,2,1,0.078,0.0530338755168651,901.81,1000.0,0.051675,901.8105572212885,1046.223471836664
Question 51,100,13,4,0.0138,0.0530338755168651,51.08,100.0,0.052685,51.07984238366913,63.31650215751576
Question 52,100,18,4,0.0506,0.0530338755168651,39.45,100.0,0.052685,39.449166927879595,97.18853437061266
Question 53,100000,28,1,0.0834,0.0530338755168651,23529.59,99999.99,0.051675,23529.592840597965,143785.40848556254
Question 54,1000,8,1,0.0477,0.0530338755168651,661.4,1000.01,0.051675,661.395537885627,965.9448978078399
Question 55,1000,22,1,0.0271,0.0530338755168651,320.83,1000.01,0.051675,320.8251948388418,667.8795452985639
Question 56,10000,5,4,0.0859,0.0530338755168651,7723.04,10000.0,0.052685,7723.040065701532,11435.184756130391
Question 57,10000,19,2,0.0197,0.0530338755168651,3746.24,10000.0,0.052343,3746.239113961703,6039.590507380796
Question 58,10000,25,1,0.0359,0.0530338755168651,2747.52,9999.99,0.051675,2747.5236500462483,7656.912195119527
Question 59,100000,9,4,0.0295,0.0530338755168651,62808.57,100000.0,0.052685,62808.571809809204,83244.04130564867
Question 60,100,14,1,0.0518,0.0530338755168651,48.51,100.01,0.051675,48.50731165566482,98.80198143495215
Question 61,1000,8,1,0.0388,0.0530338755168651,661.4,1000.01,0.051675,661.395537885627,909.1212226860854
Question 62,10000,25,2,0.0918,0.0530338755168651,2747.52,9999.99,0.052343,2747.5236500462483,15334.57309681685
Question 63,10000,17,1,0.0807,0.0530338755168651,4154.13,10000.0,0.051675,4154.130913597679,13049.608203818418
Question 64,10000,11,4,0.0735,0.0530338755168651,5664.14,9999.99,0.052685,5664.143314207735,11697.385455674068
Question 65,100000,13,1,0.0226,0.0530338755168651,51079.84,100000.0,0.051675,51079.84238366913,71926.81144550002
Question 66,10000,14,1,0.0651,0.0530338755168651,4850.73,10000.0,0.051675,4850.731165566483,11171.547772963404
Question 67,100000,13,1,0.0866,0.0530338755168651,51079.84,100000.0,0.051675,51079.84238366913,130962.47604537508
Question 68,1000,25,2,0.0931,0.0530338755168651,274.75,999.99,0.052343,274.75236500462483,1551.346498034467
Question 69,100000,16,4,0.0696,0.0530338755168651,43744.41,100000.01,0.052685,43744.4057535018,117791.52521459703
Question 70,1000,26,4,0.0333,0.0530338755168651,260.92,1000.02,0.052685,260.91502979404817,722.4706515528403
